Time,LON,LAT,Eastward wind,Northward wind,Temperature above oceans,Air density above oceans,Max wave height,Swell direction,Wind wave direction,Swell period,Wind wave period,Wave direction,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,Eastward current,Northward current,SOG,COG,Heading,Width,Length,Draught
23/04/2021 03:00,14.604740520391516,55.09501485970636,6.396728516,-4.131921768,278.4973145,1.2672338485717771,1.8192286491394043,290.1282043457031,300.7005310058594,4.7166948318481445,3.775549889,298.847168,3.980963706970215,278.5952148,0.9461269378662108,0.4313215017318725,0.840820313,101683.3125,0.045759782,-0.058029518,11.713539967373574,146.7520391517129,105.40293637846656,25,158,5.2
23/04/2021 04:00,14.689647979166669,55.09845216666667,5.655190944671631,-4.535727501,278.3232422,1.2687749862670898,1.7879388332366943,286.5790710449219,308.2717590332031,4.773242950439453,3.714514732,302.2687988,4.043602943,278.4179688,0.9327667355537416,0.5137829184532166,0.776702881,101627.375,,,0,355.8999999999999,174,25,158,5.2
23/04/2021 05:00,14.689644214285716,55.09845735714286,4.859597682952881,-5.051138878,278.1687012,1.2702178955078125,1.704962968826294,281.5927734,316.3539733886719,4.685554504394531,3.612830162,304.6274414,4.006256103515625,278.4179688,0.891861081,0.5377678275108337,0.708312988,101693.1875,,,0,355.9,173.53571428571428,25,158,5.2
23/04/2021 06:00,14.689648964285714,55.09846364285715,3.803219556808472,-5.644589424,278.057373,1.2719783782958984,1.6429057121276855,283.0209045410156,323.2243652,4.639138221740723,3.497168541,308.0175781,3.952114105,278.4179688,0.8601000308990479,0.5430311560630798,0.6629522442817688,101766.875,0.00787245,-0.08581273,0,355.9,174,25,158,5.2
23/04/2021 07:00,14.689640923076922,55.09846411538462,2.9472713470458984,-5.627258301,278.0322266,1.2728300094604492,1.560722827911377,295.2961730957031,327.1049805,4.575441360473633,3.2745752334594727,310.5075684,3.910596848,278.4179688,0.8195563554763794,0.5657458901405334,0.5841800570487976,101817.375,,,0,355.9,174,25,158,5.200000000000001
23/04/2021 08:00,14.689645370370371,55.09845944444445,3.1341609954833984,-4.959494591,278.1179199,1.272791862487793,1.455412983894348,310.92950439453125,319.293457,4.457076072692871,3.040333747863769,310.7312012,3.887227058410645,278.4179688,0.76725781,0.5740875005722046,0.4897891283035278,101877.4375,,,0,355.9,174,25,158,5.2
23/04/2021 09:00,14.689644862068969,55.09845555172414,4.092260837554932,-4.102203369,278.3007813,1.2718429565429688,1.394168257713318,320.0699768066406,308.4155273,4.421721458435059,3.104616165161133,309.4279785,3.832975387573242,278.4179688,0.7354240417480469,0.5143804550170898,0.5007265210151672,101914.875,-0.005742372,-0.07144498,0,355.9,174,25,158,5.2
23/04/2021 10:00,14.689646633333332,55.09845476666667,5.738125801086426,-1.717770576,278.7177734,1.2703304290771484,1.295142412185669,321.0512695,292.9358825683594,4.280939102172852,2.963417053222656,307.4836426,3.802753448486328,278.4179688,0.6849715113639832,0.5291566848754883,0.422241211,101947.0625,,,0,355.9,174,25,158,5.2
23/04/2021 11:00,14.689652933333331,55.09845466666666,7.841543197631836,-1.250351906,279.1972656,1.2685480117797852,1.3207340240478516,346.36138916015625,288.6253662109375,4.212745666503906,3.439429283,301.5283203,3.656214714050293,278.4179688,0.6983382701873779,0.3596192598342895,0.596557617,101987,,,0,355.9,174,25,158,5.2
23/04/2021 12:00,14.689636068965516,55.098450793103446,8.390496253967285,-1.828048706,279.6577148,1.2663507461547852,1.441737174987793,348.6271973,288.7760925292969,4.205749512,3.440101623535156,296.3798828,3.576928139,278.4179688,0.7575775980949402,0.3071228265762329,0.690765381,102007.3125,0.022775868,-0.08251897,0,355.9,173.9655172413793,25,158,5.2
23/04/2021 13:00,14.689645,55.09845465517241,8.218999862670898,-2.451669693,279.9562988,1.264918327331543,1.5804822444915771,340.51983642578125,289.6041564941406,4.239444732666016,3.501379967,293.8432617,3.599942207336426,278.4179688,0.8219393491744995,0.28213501,0.7699524164199829,102022,,,0,355.9,173.51724137931035,25,158,5.2
23/04/2021 14:00,14.689640658823528,55.09845335882353,8.211668968200684,-3.266263008,280.1271973,1.2645912170410156,1.722304105758667,322.8910522460937,290.7692871,4.301630020141602,3.6076431274414062,292.7365723,3.673248291015625,278.4179688,0.8914554119110107,0.262542725,0.851226807,102027.4375,,,0.031764706,351.9717647058823,173.98235294117646,25,158,5.135882352941176
23/04/2021 15:00,14.480610884244372,55.12466213344052,7.929543495178223,-4.547497749,280.4399414,1.2652177810668943,1.880165338516236,282.3110352,294.99273681640625,4.363466262817383,3.682411193847656,294.1577453613281,3.7310924530029297,278.5952148,0.969225287,0.260742188,0.933349609,102148,0.029054197,-0.0994644,17.171864951768487,281.5742765273312,279.82797427652736,25,158,5.1
23/04/2021 16:00,13.975863864468865,55.21485356227106,6.351775169372559,-4.685441017,280.6713867,1.2655725479125977,1.641673564910889,274.9718017578125,304.3393249511719,4.312298774719238,3.522620201,299.8825684,3.667962074279785,278.7507324,0.85365653,0.362731934,0.77166748,102255.875,,,18.765567765567766,279.6943223443224,279.46886446886447,25,158,5.1
23/04/2021 17:00,13.298861240384614,55.24576867307693,4.583654403686523,-4.60492897,280.6672363,1.2645883560180664,1.2441407442092896,307.3260192871094,306.8157958984375,4.034594535827637,2.856970787,307.18853759765625,3.5423707962036133,278.9421387,0.6594258546829224,0.483856201,0.437103271,102248.125,,,18.98589743589744,274.4314102564103,273.6794871794872,25,158,5.1
23/04/2021 18:00,12.857538237373737,55.27883975589225,3.473311424255371,-3.488898277,281.1906738,,,,,,,,,,,,,102243.75,0.014396859,-0.037653584,18.005218855218857,286.5132996632997,285.5690235690236,25,158,5.1
23/04/2021 19:00,12.444634205782313,55.41225300680272,4.029315472,-3.092996597,280.6450195,1.266158103942871,0.7505824565887451,322.949707,303.5477600097656,3.5193405151367188,2.018104553222656,319.35174560546875,3.2625770568847656,279.666748,0.4081161618232727,0.360534668,0.172180176,102236.75,,,15.795068027210885,300.5287414965986,298.6394557823129,25,158,5.1
23/04/2021 20:00,12.201192631944444,55.45588127546296,3.706399440765381,-2.214548111,280.1213379,1.2688846588134766,,,,,,,,279.8630371,,,,102109.5625,,,1.9997685185185183,267.3342592592592,144.15277777777777,25,158,5.1
23/04/2021 21:00,12.196967048710604,55.45558375644699,3.835632324,-2.187781334,279.4262695,1.272155762,,,,,,,,279.8630371,,,,102109.875,,,0,313.7,109.59598853868196,25,158,5.1
