,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,SOG,COG,Heading,Width,Length,Draught,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction
3590,2021-05-30 17:00:00,13.410856246240602,55.24667156954887,284.810791015625,1.253692626953125,0.4252535402774811,3.5287179946899414,2.20328426361084,3.4623117446899414,284.52587890625,0.2317160069942474,0.2274200469255447,0.036865234375,102698.75,18.578195488721803,273.2,271.6954887218045,25.0,158.0,5.1,2.3269874176009147,0.0169899871367825,45.70569289519602,162.6253434039574,163.5118858509494,177.0482719249295,163.783393114133
3591,2021-05-30 18:00:00,12.880786358131488,55.2762976401384,285.870849609375,,,,,,,,,,102655.0,17.96712802768166,284.34878892733565,282.52076124567475,25.0,158.0,5.1,3.103894679443253,0.0296697648925763,62.02663272078115,119.52358127158146,,,
3592,2021-05-30 19:00:00,12.434409759349592,55.41228039674797,285.366455078125,1.2485733032226562,0.3426968157291412,2.5773887634277344,1.6293096542358398,2.4575767517089844,284.8740234375,0.1946979910135269,0.180816650390625,0.0708999633789062,102607.9375,16.373658536585364,298.4032520325203,295.7886178861789,25.0,158.0,5.1,3.827294097689168,0.0169899871367825,46.842650623992256,138.53221423958303,140.40690401899138,132.43421725141326,140.13381747113982
3593,2021-05-30 20:00:00,12.19990598097826,55.455850059782605,285.57080078125,1.2512073516845703,,,,,285.010986328125,,,,102480.625,1.6665760869565216,272.3054347826087,136.58423913043478,25.0,158.0,5.1,2.937948904185056,0.0169899871367825,148.4836205552451,62.26340700467286,,,
3594,2021-05-30 21:00:00,12.196954956790124,55.45559354320988,284.48974609375,1.2525691986083984,,,,,285.010986328125,,,,102489.0,0.0,293.9,109.62962962962963,25.0,158.0,5.1,2.826190120473458,0.0169899871367825,112.1501826287536,35.30879750386771,,,
3595,2021-05-30 22:00:00,12.247339055555557,55.45130343415638,283.714111328125,1.251150131225586,,,,,285.40625,,,,102482.6875,8.188477366255144,167.10637860082304,106.98559670781891,25.0,158.0,5.174897119341564,2.426940638844311,0.0169899871367825,83.40185854140206,32.66476458205699,,,
3596,2021-05-30 23:00:00,12.52319121647819,55.354425463651054,284.2685546875,1.2513713836669922,0.2779291868209839,2.405099868774414,3.8648815155029297,2.405099868774414,285.309814453125,0.1622012108564376,0.1622314453125,2.5071455260722124e-16,102603.4375,16.28481421647819,125.39789983844912,125.06138933764136,25.0,158.0,5.2,3.021852226318188,0.0169899871367825,88.98034575388371,50.74055721187944,43.50170575513208,89.74896944628394,43.50152264966333
3597,2021-05-31 00:00:00,12.979468671232876,55.23652158561644,284.283447265625,1.2506952285766602,0.345209538936615,3.2172441482543945,3.864906311035156,3.2172441482543945,284.71875,0.1909779012203216,0.191162109375,2.540618150565334e-16,102647.9375,18.68818493150685,100.9541095890411,99.77397260273972,25.0,158.0,5.2,2.838805454065627,0.2358143056173143,73.17986943594335,72.46068643258789,10.243500800981906,64.4618845900444,10.248429389849091
3598,2021-05-31 01:00:00,13.535946758680556,55.18888872569445,284.0380859375,1.2505455017089844,0.3828346729278564,3.412891387939453,3.864906311035156,3.412891387939453,284.119384765625,0.2105154395103454,0.210693359375,2.5355359528818084e-16,102610.125,19.299131944444444,97.8501736111111,96.52604166666669,25.0,158.0,5.2,2.5824333526924166,0.0169899871367825,60.32013864201461,22.20520954090476,18.530909220377623,61.22185770670575,18.52305094401044
3599,2021-05-31 02:00:00,14.087633459272096,55.135519339688045,283.936279296875,1.2511262893676758,0.4068816900253296,3.617436408996582,3.8271255493164062,3.614018440246582,284.1312255859375,0.2245698422193527,0.2242660522460937,0.0015411376953125,102638.3125,19.046100519930675,103.30623916811092,101.70883882149047,25.0,158.0,5.2,2.4114042437514214,0.0169899871367825,49.38896738943792,27.38800669572855,34.044471145709224,66.8818200836975,34.03461396797485
3600,2021-05-31 03:00:00,14.578145104364326,55.09177781214421,283.92431640625,1.251399040222168,0.4636603593826294,3.688321113586426,3.287757873535156,3.603177070617676,284.2689208984375,0.2540176808834076,0.2469635009765625,0.0333251953125,102560.125,13.055218216318789,139.66261859582542,104.6470588235294,25.0,158.0,5.2,2.6197547903949703,0.0478730030562638,36.07793414376415,101.85880251088872,43.427881577435656,86.4942611245548,42.99914012235752
