,LON,LAT,sog,vwknot,cog,truecurrdir,dirchk,heading,curdir,curspeed,vgms
144,13.51275378,55.19184459,19.30555993,19.22586024012345,98.61966988,155.4167155,56.797045620000006,94.6798237,70.09653919436364,0.04669473521082703,9.931865382240971
145,14.04494687,55.1585433,19.24394125,19.16096003206666,96.24121171,130.6576867,34.41647499,91.33241331,41.99010002380583,0.07337830682643452,9.900165269060603
146,14.5326136,55.10573211,16.03544873,15.933109334588867,101.4336272,157.6788308,56.24520359999998,103.4444342,81.12326501672972,0.056164268650133645,8.249536336042802
158,12.9327612,55.26890594,17.66321196,17.6100737031764,280.8124879,49.27405152,231.53843638,280.6900456,-30.035902851037612,0.04188103694322925,9.086949254038482
164,12.97666039,55.23768154,19.08918929,19.071214054005203,102.4697814,76.33116536,26.138616040000002,100.8284648,24.497299479589998,0.04484815426959519,9.820552160716124
167,14.53310384,55.09779621,15.54264469,15.530890272569671,104.5527245,107.7792473,3.226522799999998,96.26132531,24.040572594623907,0.03719619478402657,7.9960102325342115
187,14.04502878,55.14790044,20.1084063,19.99258786867537,96.54986753,116.9670731,20.417205569999993,95.22591944,32.19299258446382,0.13945673035454006,10.344894690811811
188,14.55642013,55.1025683,14.79345238,14.747862604234642,129.6230506,129.1720793,0.45097129999999197,107.1805556,56.35263488070554,0.08292211209740395,7.610583588846589
201,13.94766209,55.21574184,18.82899787,18.78787004544501,276.4954458,98.51619519,177.97925061,275.4999776,-3.0162175523915065,0.1334645709959997,9.686695066364852
202,13.35277573,55.24022787,18.84150943,18.71027107803882,274.2595559,121.8909135,152.3686424,273.7041337,-28.18677976739163,0.1269551596469525,9.693131716225949
203,12.8451814,55.27678592,17.62857143,17.43969298731749,287.0078301,168.8154986,118.19233149999997,285.6856102,-85.49889116726892,0.09955804541589858,9.069128217923655
221,14.44093767,55.13821435,18.45933189,18.05054748434844,292.6070805,169.4011249,123.20595559999998,288.1183129,-82.48056220433313,0.21798939482001417,9.496518103714374
222,13.96877262,55.22217098,18.43227475,17.8728042680896,276.5892755,159.9045997,116.68467579999998,272.9360708,-66.96852891296372,0.300505428849,9.482598389752033
223,13.40747296,55.24531048,18.28758764,17.611865773210273,273.3852603,169.5305545,103.85470580000003,269.6607615,-79.86979300071751,0.3501460714431661,9.408163206091162
224,12.89444109,55.2739439,17.88155773,17.241116435111582,282.2783594,172.7611383,109.5172211,279.2865831,-87.9522786731713,0.33500489984557663,9.199278593476695
229,12.61003986,55.32248243,17.71217448,17.639514045233582,124.9691566,79.86400457,45.10515203,125.331356,45.46735146237808,0.21920772161871718,9.112138326988374
230,12.56854929,55.33960831,17.3600698,17.285591236358705,124.707656,80.37233479,44.335321210000004,125.8396863,45.46735146237808,0.21920772161871718,8.930995884350242
246,14.43385459,55.14343431,18.46039771,17.931042710956724,288.7826631,164.8441194,123.93854369999997,285.8650824,-89.29079814367431,0.2869159992914767,9.497066421442534
247,13.9377562,55.21758297,18.37775928,17.69541726052634,278.1198644,175.5442616,102.57560279999998,274.8732702,-80.67099133146317,0.3511162947186987,9.454552567136536
248,13.36477412,55.2460127,18.53644095,17.732963227186783,273.2386173,170.9099711,102.32864619999998,270.0152804,-80.89469068880724,0.41562993175541524,9.53618733923243
254,12.51255126,55.36250115,17.02121131,16.578079118111564,123.9038707,60.75081822,63.15305248,123.2714057,62.52058747756537,0.4995387778468832,8.756668026545942
