,Unnamed: 0,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,Draught,Width,Length,SOG,COG,Heading,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction,True North Wind Direction,True North Current Direction
5278,5278,2021-08-29 18:00:00,12.88604549,55.27391064,290.3887939,1.21523571,1.261720419,4.724038124,3.227455139,3.807534218,288.9018555,0.67388463,0.399169862,0.535644531,101728.0,5.289656698,24,158,17.66271276,284.8855908,283.754888,6.484351998,0.118466909,68.36395649,58.71830045,143.3750024,116.4106927,126.0612474,35.39093152541706,45.03658756429279
5279,5279,2021-08-29 19:00:00,12.49433578,55.4132833,290.6220703,1.21295166,0.64755863,3.425557137,2.41910553,2.830525398,289.1374512,0.357635498,0.224169493,0.276763916,101757.4375,5.287251279,24,158,17.01082561,256.2620313,271.4497253,5.540458915,0.097950944,66.54792473,44.32229697,126.1934097,118.577771,121.5750664,24.901800610959448,47.1274283704405
5282,5282,2021-08-29 22:00:00,12.22464508,55.4539587,289.3974609,1.215841293,,,,,289.1784668,,,,101689.0625,5.113771508,24,158,5.327293664,216.5641961,108.9220021,5.347432153,0.016703624,96.35445371,27.92624036,,,,25.276455867603765,
5283,5283,2021-08-29 23:00:00,12.52866176,55.35485597,289.661377,1.215833664,0.792438745,3.428956985,2.700233459,2.83703804,289.2138672,0.429223031,0.181152344,0.387054443,101766.8125,5.021329822,24,158,17.44893452,123.7806064,121.6720767,5.996168712,0.016703624,82.19178797,40.67631495,73.52065233,99.49981455,95.54832796,23.863864713309937,
5284,5284,2021-08-30 00:00:00,12.97859623,55.23041798,289.4677734,1.215777397,1.791171074,4.827876091,3.802406311,4.012690544,289.0056152,0.941791058,0.385131836,0.853271484,101775.25,5.030957924,24,158,18.41857529,103.8298382,100.3662791,7.649058322,0.016703624,115.7025136,19.37051728,24.70513863,59.69310707,52.79115242,36.06879263541151,
5285,5285,2021-08-30 01:00:00,13.58325608,55.17161375,288.8027344,1.217402458,2.088180542,5.138443947,4.141029358,4.299576759,288.7319336,1.097271085,0.413085938,1.012451172,101722.875,5.019166524,24,158,19.12071611,97.69904554,94.94629156,8.040594952,0.016703624,117.261201,13.95052977,9.168543452,51.95057547,46.21553289,32.2074925162882,
5286,5286,2021-08-30 02:00:00,14.08432021,55.13828379,288.388916,1.219857216,2.228136063,5.368020058,4.076942444,4.52146244,287.8858643,1.159825325,0.511917114,1.014678955,101767.5,5.021488986,24,158,18.93514938,96.1554033,92.92966026,9.214367915,0.137332039,116.6196925,93.70913766,13.86373467,53.45004982,44.91337914,29.54935272516556,-0.77947747546258
5287,5287,2021-08-30 03:00:00,14.55769722,55.10077059,288.5222168,1.217066765,2.727479458,5.358625412,4.619117737,4.680463791,288.1557617,1.4091506,0.396286011,1.351745605,101615.5625,5.020997673,24,158,14.21127349,124.3608533,102.5219693,10.1563171,0.089568333,110.0871298,174.5564748,20.06822635,64.40831424,61.74374439,32.609099115940595,-72.03450546764446
5296,5296,2021-08-30 15:00:00,14.45957833,55.13901614,288.8530273,1.218384743,2.305145979,5.867762566,4.027479172,4.959132195,288.1557617,1.209197521,0.743041992,0.903869629,101779.0,5.286665527,24,158,17.88613033,290.8985166,289.608169,6.996227066,0.145392563,74.5250649,28.18228805,133.0464369,113.5876508,119.7801824,35.08310410491035,81.42588095948788
5297,5297,2021-08-30 16:00:00,13.96979067,55.21846871,289.1523438,1.219150543,1.85610795,5.471528053,2.978126526,4.935639381,287.8858643,0.977636158,0.735733032,0.539764404,101888.0625,5.28825885,24,158,18.97680723,275.8477841,274.4655138,5.225766135,0.145392563,60.88246577,13.03963282,149.519525,132.7770018,141.579225,33.58304800389628,81.42588095948788
5298,5298,2021-08-30 17:00:00,13.38717052,55.24360794,289.661377,1.215735435,1.496496558,5.261626244,2.456703186,4.766961098,288.7319336,0.800999224,0.654419065,0.347412109,101836.75,5.291639371,24,158,18.82960094,273.5791582,272.4065592,3.67648677,0.142610412,51.34643448,8.786242944,151.502323,132.0203627,145.4423865,41.06012466691139,83.6203162066088
5299,5299,2021-08-30 18:00:00,12.87718072,55.27437523,289.9169922,1.217179298,1.148350716,4.82165432,2.449378967,4.693663597,289.0056152,0.612756252,0.593139648,0.094482422,101932.375,5.287032493,24,158,17.68589981,287.5209349,286.116948,2.086427621,0.151193623,79.96176489,38.62520865,135.7768012,113.0653602,134.8296005,26.1551830953843,67.49173933423745
5300,5300,2021-08-30 19:00:00,12.46309448,55.41110253,290.2563477,1.213890076,0.442737699,3.215776443,3.76700592,3.208208084,289.2138672,0.244683862,0.243975967,0.006195068,101917.8125,5.287063071,24,158,16.49708906,298.3830255,297.063134,4.313112554,0.108059303,126.9891374,30.66872949,108.7339012,97.9913437,108.6925232,-9.926003408553068,86.39440450570628
5304,5304,2021-08-30 23:00:00,12.42648724,55.39642568,288.8347168,1.223219872,0.50126785,3.497592926,2.211036682,2.889621735,289.3916016,0.275597781,0.197509766,0.187805176,101980.0625,5.475200339,24,158,17.13946409,124.8524347,122.8840315,4.582573274,0.016703624,85.65944932,41.88826973,65.70337509,97.02232193,82.78646683,28.543480845965796,
5305,5305,2021-08-31 00:00:00,12.86121618,55.25269448,288.9609375,1.223192215,1.08422792,5.101325035,2.699988365,4.102484703,289.4316406,0.578519404,0.43963623,0.372924805,102002.3125,5.461473395,24,158,19.46684588,106.9669875,104.2668162,5.915486559,0.016703624,94.42336207,23.27105443,32.01239117,79.01422795,49.76117428,18.69017829353854,
5306,5306,2021-08-31 01:00:00,13.4514506,55.18250728,287.9069824,1.224831581,1.701003551,5.538961411,3.511390686,4.211568832,288.8226318,0.897346079,0.496337891,0.736083984,101908.6875,5.466522371,24,158,20.14840295,99.48041843,96.91740692,7.445108503,0.016703624,98.14075945,15.92164513,22.4350766,69.71815574,53.09942901,15.058166369492007,
5307,5307,2021-08-31 02:00:00,14.01539937,55.14237359,287.3994141,1.226298332,2.01246953,5.661962509,3.671791077,4.599218369,288.1547852,1.056924582,0.60589838,0.83416748,101931.4375,5.469829097,24,158,20.07774349,96.43162905,94.00167567,8.345837518,0.090370125,102.6152417,106.4837599,23.79826075,69.17404467,50.04119975,16.61691737298389,-12.482084183029901
5308,5308,2021-08-31 03:00:00,14.53176515,55.09769765,287.6396484,1.224900246,2.59538579,5.999118805,4.377357483,4.760715485,288.4759521,1.354033828,0.618198216,1.194702148,101826.5625,5.476853094,24,158,16.00745487,111.8291828,98.80590553,9.184796732,0.120629502,96.24688228,168.2883907,26.45860023,74.83616752,64.28481788,15.052787810773026,-69.4824851877811
5317,5317,2021-08-31 15:00:00,14.4671922,55.1325496,289.3952637,1.217980385,1.636534333,5.44500351,3.623268127,5.417293549,288.4759521,0.869125068,0.852856457,0.13671875,101940.4375,5.469721344,24,158,17.92357895,287.1831736,281.1024346,3.704581232,0.167863831,144.0500718,17.96888719,123.8937278,106.4316402,123.529676,-42.94763715180582,83.13354741304835
5318,5318,2021-08-31 16:00:00,13.96387299,55.21648115,290.1420898,1.21736145,1.28823638,5.402450562,2.392250061,5.36656189,288.1547852,0.683807254,0.677990854,0.074859619,102024.8125,5.464114185,24,158,19.29905681,278.5364539,276.212704,4.047311786,0.167863831,179.2085383,13.07915655,136.0416486,23.51474355,135.8134115,-84.57875771459781,83.13354741304835
5319,5319,2021-08-31 17:00:00,13.39724606,55.24152107,290.6721191,1.212360382,1.030085802,5.166187286,2.08731842,4.954517365,288.8226318,0.548673332,0.515438318,0.184326172,101967.1875,5.473012502,24,158,18.94819246,273.1743048,272.6191852,4.64944325,0.145552064,167.5090601,9.343358621,140.5346196,18.27562075,137.3695691,-74.88987493848603,83.27582654144003
5320,5320,2021-08-31 18:00:00,12.8664738,55.27355311,291.1947021,1.21248436,0.858115673,5.002119064,2.398840904,4.181806564,289.4316406,0.458196044,0.378424406,0.255157471,102084.9375,5.467869771,24,158,17.55706051,285.8229004,285.1169065,6.381791996,0.132894904,137.4479303,34.71815862,133.5412318,42.79233425,110.597285,-32.33102387108536,70.39874785105567
5321,5321,2021-08-31 19:00:00,12.47451137,55.39899566,290.225708,1.216170311,0.608859718,3.424544334,2.452919006,2.775862694,289.3916016,0.335016608,0.164737225,0.28692627,102074.25,5.470554701,24,158,15.72106242,304.3297568,302.6917431,6.052854708,0.093342348,149.8697217,32.41761491,65.06191947,29.3546436,39.58233525,-27.177978548269863,-89.7258718796706
5325,5325,2021-08-31 23:00:00,12.45237878,55.3874017,289.1425781,1.222865105,0.703622818,3.424851418,2.531532288,2.788743019,289.3438721,0.38234511,0.209136963,0.319534302,102135.4375,5.288747577,24,158,17.15107692,127.5633954,126.1168298,5.547134288,0.016703624,38.1424151,45.12106805,144.4769067,145.0767297,145.6355371,-15.740755061121803,
5326,5326,2021-01-09 00:00:00,12.53692536,55.34643054,288.862793,1.223844528,0.663463473,3.278588295,2.326393127,2.804955482,289.3438721,0.362963855,0.082366943,0.343414307,102167.4375,4.851965199,24,158,16.85014997,125.0135917,122.882347,4.819152141,0.016703624,50.75938814,41.88658525,136.5898666,130.7147445,138.5171737,-6.358264809080278,
5327,5327,2021-01-09 01:00:00,12.98153807,55.23438895,288.8796387,1.224161148,1.146728039,4.18715477,2.454260826,3.758199692,289.1741943,0.600435138,0.512689292,0.300048828,102213.0,4.8354105,24,158,18.51045834,102.3206348,99.55369889,4.754745578,0.016703624,97.92320883,18.5579371,101.0661501,83.59170948,97.86754452,17.476907719108862,
5328,5328,2021-01-09 02:00:00,13.60447825,55.17189059,288.3574219,1.225120544,1.043168664,4.418662071,1.863928795,4.266318321,288.963623,0.550116956,0.531732261,0.125732422,102215.6875,4.838752531,24,158,19.052584,98.33087852,95.22020707,3.823722909,0.016703624,130.1609533,14.22444528,75.69387231,52.25567994,73.59625802,45.381160344245856,
5329,5329,2021-01-09 03:00:00,14.08977405,55.14008458,287.84375,1.228672981,1.032342315,5.154600143,2.293190002,5.117368698,288.4661865,0.547156811,0.543347299,0.046585083,102274.125,4.845970452,24,158,19.02039606,97.46586114,96.11604851,3.216494399,0.011324512,102.2987444,58.69640283,49.96347206,80.51167362,50.29460304,18.41479290261469,-25.1875504906956
5330,5330,2021-01-09 04:00:00,14.55716749,55.09649044,287.9848633,1.228223801,1.213054419,5.585333824,2.277931213,5.20862484,288.5909424,0.641661167,0.603204489,0.216308594,102176.6875,4.840851273,24,158,14.5488424,121.8700316,101.4263133,5.17109872,0.049679682,71.45860894,150.3250483,50.62103833,117.9215831,56.57024945,-7.115077773670263,71.75136159532961
5342,5342,2021-01-09 16:00:00,14.48799902,55.12433908,290.0328369,1.215764999,1.173153162,5.211662292,2.691883087,4.243888855,288.5909424,0.620180011,0.474884033,0.392700195,102203.1875,4.848259577,24,158,16.56149533,283.9741925,281.7102804,6.805459231,0.06562838,130.1737639,35.01638258,120.1012125,41.53331093,82.93873744,-28.46348351460373,66.69389779766972
5343,5343,2021-01-09 17:00:00,14.04584241,55.20400356,291.0720215,1.216025352,1.085821271,4.880592346,2.631018639,3.968238831,288.4661865,0.562770426,0.404663086,0.37902832,102301.4375,4.845609059,24,158,18.49782521,280.979713,280.567801,6.526321578,0.049679682,138.0459961,28.81643943,112.3734183,38.61527393,72.56159351,-37.47819504516997,71.75136159532961
5344,5344,2021-01-09 18:00:00,13.34358223,55.24334891,291.0183105,1.216498375,0.83959651,4.397550583,2.429725647,3.596403122,289.0371094,0.442331135,0.319549561,0.293945313,102322.5,4.835954665,24,158,18.79541335,274.043635,273.6682039,4.961710764,0.011324512,131.1447506,118.8557526,101.0362286,46.29410687,70.80378094,-37.47654662725149,-25.1875504906956
5345,5345,2021-01-09 19:00:00,12.92901898,55.2691567,290.5412598,1.218500137,0.61248529,4.091790199,2.054359436,3.621819496,289.1741943,0.325453103,0.275390625,0.161865234,102400.875,4.843588023,24,158,18.37730388,280.7644392,280.0105947,4.04735781,0.016703624,134.2595801,160.9851671,94.43109954,37.61492408,77.95794166,-34.24898534162704,
5346,5346,2021-01-09 20:00:00,12.4866521,55.39345535,289.7145996,1.223777771,0.266941726,2.545454025,3.395301819,2.534833908,289.3438721,0.158089161,0.157670975,0.006408691,102350.8125,4.845278216,24,158,16.75431799,304.2538719,303.2090052,2.336793127,0.016703624,170.7706675,137.7867566,33.264353,79.16977521,33.2171423,-47.56166234534476,
5349,5349,2021-01-09 23:00:00,12.23407412,55.45345627,287.2099609,1.228334427,,,,,289.7602539,,,,102276.4375,4.83844001,24,158,6.243686242,195.511489,109.0310675,2.170953386,0.016703624,14.90974848,28.03530571,,,,-56.05918401906585,
5350,5350,2021-02-09 00:00:00,12.46537645,55.38110209,288.6027832,1.229474068,0.198999584,2.407079697,3.472450256,2.297826767,289.6981201,0.12459904,0.116760194,0.023147583,102399.4375,5.374951914,24,158,15.98937757,127.1591751,122.9399935,2.613987498,0.011324512,28.58947915,31.87245789,145.2407442,101.3363901,148.7881075,-28.470527394643646,-25.1875504906956
5351,5351,2021-02-09 01:00:00,12.88565013,55.24699757,288.9326172,1.226224899,0.450211346,3.865733147,1.835853577,3.539805412,289.3186035,0.244378448,0.222900331,0.098388672,102456.5625,5.382425165,24,158,16.44082362,106.7411869,102.6187607,3.369278302,0.049679682,56.44233979,149.1326009,91.46756802,140.9835983,99.44671116,-20.93889952648525,71.75136159532961
5352,5352,2021-02-09 02:00:00,13.25985416,55.19855305,288.5966797,1.227525711,0.518427789,4.020932198,1.958106995,3.592391968,289.1420898,0.280393481,0.249114931,0.128433228,102453.3125,5.37465168,24,158,14.9555507,100.1770633,94.53033945,3.577383133,0.126035948,71.38275396,142.1772431,80.21633932,118.8577015,88.79573652,-14.0869065983006,56.70758252566749
5353,5353,2021-02-09 03:00:00,13.77879189,55.16028377,288.4892578,1.228853226,0.562436521,4.234889984,2.052528381,3.695998192,288.8803711,0.303619564,0.25769037,0.155715942,102437.375,5.37804696,24,158,15.2285041,95.62432454,90.66605505,4.317255121,0.147501029,76.19284824,150.9308583,66.84607824,106.5259183,77.32668813,-13.141096703408852,61.596913346373746
5354,5354,2021-02-09 04:00:00,14.20875948,55.1356064,288.4233398,1.227809906,0.829103112,4.324521065,2.42459774,3.650082588,288.7084961,0.439628303,0.319335878,0.286758423,102480.4375,5.37628032,24,158,15.37810471,97.85749742,92.27132944,5.572022592,0.147501029,84.99411658,149.3255839,80.35682253,94.13766245,83.37387327,-2.734553973531883,61.596913346373746
5355,5355,2021-02-09 05:00:00,14.60193853,55.09810225,288.2556152,1.228020668,1.034586072,4.183847427,2.587623596,3.583993912,288.8061523,0.545351684,0.429290712,0.335296631,102420.6875,5.384588221,24,158,11.5832648,105.714876,113.8945361,5.821344479,0.148246793,73.73498013,127.7524104,114.7309924,108.6808311,111.6805609,7.62951626738823,61.6469464984152
5357,5357,2021-02-09 07:00:00,14.6557652,55.09839388,288.4083252,1.229218483,1.043991804,4.308601379,2.449073792,3.794075012,289.0668945,0.550908685,0.467638969,0.290328979,102390.5,4.826686174,24,158,7.657036676,177.1541551,221.3934274,4.882002027,0.170892446,30.65500809,25.63422137,146.9592633,146.6536974,146.8417792,10.73841932700964,67.02764878752004
5358,5358,2021-02-09 08:00:00,14.32993704,55.19001895,288.2558594,1.230230331,0.718516588,3.87002182,2.153907776,3.679103851,288.7084961,0.382185578,0.35888046,0.118087769,102616.625,4.836679619,24,158,18.59896155,300.4878294,301.3329186,3.926540691,0.111095598,105.5688691,59.7709532,77.54396206,76.92676693,77.63750607,15.764049521300306,61.56196537803654
5359,5359,2021-02-09 09:00:00,13.8832211,55.35906856,289.4715576,1.218907356,0.449482799,3.657168388,3.628517151,3.645571709,,0.244577885,0.243444443,0.010154724,102272.875,4.827529644,24,158,15.8497719,235.2737943,256.3230015,2.18133536,0.086362992,61.58685913,25.58275394,134.9801887,136.0256275,134.9748863,14.73614238723318,50.740247591980946
5360,5360,2021-02-09 10:00:00,13.84144507,55.39112905,291.081665,1.215878487,0.39012152,3.715954781,3.864906311,3.715954781,,0.211923718,0.211865246,2.53e-16,102219.875,4.842904588,24,158,8.503857118,112.9688799,187.6307432,1.287381673,0.086362992,44.25980494,43.10950435,152.8998129,152.3170683,152.9036124,-36.62906167851177,50.740247591980946
5361,5361,2021-02-09 11:00:00,14.11528728,55.26988339,289.5893555,1.227389336,0.528612137,3.890130997,3.864906311,3.890081406,288.7121582,0.286082804,0.286132813,2.53e-16,102639.625,4.837932094,24,158,16.13599194,121.4020962,114.3652198,1.62916565,0.042663756,14.29580002,85.63150167,84.53992336,79.05548924,84.54406422,-79.9305802648874,19.996721436625197
5362,5362,2021-02-09 12:00:00,14.51586493,55.13142885,288.9873047,1.22792244,0.733719945,4.16804409,3.712440491,4.166432381,288.8061523,0.393896222,0.393615723,0.003753662,102562.25,4.840925021,24,158,16.20809588,111.7652732,106.2481599,2.356173139,0.025924101,12.88358536,80.51887752,84.91943792,74.69720892,84.91761259,-86.63542544781023,6.767038323546746
5366,5366,2021-02-09 16:00:00,14.4809957,55.12458371,289.2319336,1.224751472,0.85415262,4.67468071,2.37625885,3.807004929,288.8061523,0.443271518,0.34564209,0.266113281,102336.8125,5.199774771,24,158,17.58628258,285.7353922,285.4507992,6.74472378,0.016703624,149.9770191,155.5449626,106.2617691,33.18256495,56.3783634,75.4278183058448,
5367,5367,2021-02-09 17:00:00,13.96764947,55.20601547,289.605957,1.221343994,0.763540983,4.413531303,2.379065514,3.40840435,288.7121582,0.396666408,0.263030946,0.282348633,102343.9375,5.199732983,24,158,18.83859785,277.6046534,278.9552585,7.06176678,0.016703624,161.4581768,162.0405033,109.2321728,20.19808687,14.54519926,80.41343534307659,
5368,5368,2021-02-09 18:00:00,13.3520131,55.24316602,290.2341309,1.217101097,0.917063236,4.32787323,2.70844841,2.942741394,289.1420898,0.483006597,0.177434504,0.447875977,102270.125,5.199680474,24,158,19.13053675,274.6844233,275.1396301,7.492126144,0.016703624,162.3088153,165.8561316,126.2969772,15.4126404,9.792462179,77.44844542620413,
5369,5369,2021-02-09 19:00:00,12.88348856,55.26888199,289.9758301,1.218545914,1.100574732,4.163656235,2.883241653,2.964437485,289.3186035,0.582764506,0.146624565,0.563964844,102304.25,5.199665219,24,158,17.7114841,284.5069893,284.9242754,7.740274391,0.016703624,151.3178094,156.0714864,114.3941984,26.2646074,25.05458543,76.2420847896775,
5370,5370,2021-02-09 20:00:00,12.4618323,55.40213074,289.5881348,1.218207359,0.700068653,3.203920364,2.610829353,2.669130325,289.6981201,0.382091582,0.119747043,0.362670898,102153.5,5.1998026,24,158,16.05602278,302.7411574,303.5897474,6.371787448,0.016703624,126.1795385,137.4060144,59.04242993,53.59984875,54.62203503,69.76928588550531,
5374,5374,2021-03-09 00:00:00,12.45926608,55.3840804,288.4750977,1.22262764,0.933978021,3.591965675,2.853553772,3.009446144,289.6766357,0.504149556,0.217498779,0.452026367,101926.625,5.19960192,24,158,17.17070664,125.2817892,125.18432,6.838965934,0.025295919,35.53267447,93.58834456,95.68614819,135.894568,128.0540071,89.65164548675212,38.77266451546568
5375,5375,2021-03-09 01:00:00,12.93016183,55.25409626,288.8847656,1.219623566,1.586644411,4.139513969,3.50675106,3.554797173,289.1870117,0.83000493,0.229003906,0.797607422,101931.8125,5.199715957,24,158,19.72846076,103.091331,102.1634446,8.245795638,0.049816897,13.15372528,97.99015892,138.7672957,161.0951003,160.2710341,89.00971935770102,20.153603559384376
