,Unnamed: 0,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,Draught,Width,Length,SOG,COG,Heading,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction,stw,northcurrdir,nortwinddir
3475,3475,2021-06-06 15:00:00,14.46634798,55.12923561,289.21875,1.224233627,0.215986788,2.322302818,3.862341881,2.321936607,287.486084,0.13124378,0.131144643,0.000213623,102099.75,5.01612898,24,158,17.97986499,285.2444507,283.0091854,1.444004056,0.076302326,155.2471822,14.20529655,162.6513134,112.2917904,162.6399532,17.834800018157036,-62.78551808876284,78.25636753584457
3476,3476,2021-06-06 16:00:00,13.97602778,55.21704827,289.2089844,1.225467682,0.237414896,2.332054138,3.864905357,2.332054138,287.2124023,0.143730238,0.143696055,2.55e-16,102142.875,5.017066548,24,158,18.84518782,278.687717,277.3135736,1.679778918,0.076302326,147.0790465,19.90090831,150.7511041,118.002989,150.7503793,18.704617181199975,-62.78551808876284,64.39262012553414
3477,3477,2021-06-06 17:00:00,13.39406682,55.24690471,288.5336914,1.227353096,0.244122565,2.462740898,3.864905357,2.462740898,286.7585449,0.143141389,0.143310159,2.55e-16,102037.25,5.014240795,24,158,19.20964586,274.2170704,272.6564551,1.275539416,0.092256314,120.8732053,26.15061928,161.307273,122.656434,161.3095161,19.046727686529124,-61.19292557645129,33.529660396904276
3478,3478,2021-06-06 18:00:00,12.86366188,55.28216389,291.3918457,,,,,,,,,,102034.6875,5.025120343,24,158,18.27279818,286.2015519,284.5988593,1.836402947,0.084160023,116.9705233,14.09895669,,,,18.115366566278343,-89.50009765085895,41.569382588696
3479,3479,2021-06-06 19:00:00,12.44025854,55.41508856,291.3908691,1.211625099,0.213440478,2.259512901,3.864906311,2.259512901,286.8146973,0.128180444,0.115379333,0.048629761,102039.625,5.017269128,24,158,16.4052866,297.4362563,295.7008724,2.039712978,0.062788394,174.7232275,17.75033912,142.6067714,99.60966685,142.607687,16.29027973981443,-82.04946672875992,-59.02235506094447
3480,3480,2021-06-06 20:00:00,12.19979248,55.45587498,291.005127,1.212991714,,,,,286.9846191,,,,101938.4375,5.021004982,24,158,1.46296258,281.9176894,129.1147984,2.433765333,0.052856903,32.6718938,151.877094,,,,1.4070414919192669,-22.762295615109,-18.213307774763027
3483,3483,2021-06-06 23:00:00,12.48167295,55.37369168,288.9443359,1.218458176,0.123627849,2.318846703,3.864905357,2.318846703,287.6772461,0.073241979,0.073242188,2.54e-16,102068.5,5.017831233,24,158,17.37844308,126.5967842,125.0583636,2.800828062,0.016703624,45.69212663,44.06260179,16.25694404,89.74826684,16.26011787,17.37661281366841,41.35098855672829,-9.249509791368713
3619,3619,2021-06-13 00:00:00,13.04253737,55.22046514,286.4851074,1.229899406,3.427975893,4.583965302,4.723257065,4.720684052,287.5725098,1.762051344,0.229980409,1.747070313,101620.625,5.282152124,24,158,18.74857458,100.8758244,97.76761175,11.70359458,0.184331269,26.07462586,8.39296958,145.4563262,157.2510102,157.6886323,18.39760468464918,89.37464201117616,-56.15776238970032
3629,3629,2021-06-13 13:00:00,14.68960674,55.09828835,288.6813965,1.22634697,2.328813076,4.918320656,4.350258827,4.420848846,287.5930176,1.207500219,0.390350401,1.141235352,101954.3125,5.017248989,24,158,0.38774151,321.251176,166.3731439,9.69659287,0.090651095,67.38398016,45.19285816,159.8822577,118.5652717,121.4508307,0.2303156114169105,-58.8197142925705,-81.01083629764373
3631,3631,2021-06-13 15:00:00,14.53085968,55.11938373,288.9465332,1.225366592,1.987828255,5.051254272,3.948889732,4.258591652,287.3470459,1.037171602,0.537658691,0.884368896,102062.8125,5.199728546,24,158,15.76620278,290.9043483,269.6377539,7.95304278,0.107856535,166.3071321,158.0386198,21.7818628,15.46097047,16.53235108,15.556566869469371,-68.4008659472689,-76.66937819032721
3632,3632,2021-06-13 16:00:00,14.0509118,55.19820672,289.1262207,1.225819588,1.52767241,4.648406029,3.437903404,3.90335083,287.1132813,0.803809285,0.482574463,0.639221191,102163.625,5.199708075,24,158,19.98419048,279.8333844,278.3028571,7.065272352,0.107856535,177.6252128,166.7037231,14.18933036,8.082427281,9.011657017,19.778990040111474,-68.4008659472689,-79.32235566253624
3633,3633,2021-06-13 17:00:00,13.4122342,55.23593473,289.217041,1.224054337,1.317993402,4.328121185,3.257727623,3.666744232,287.2497559,0.701103926,0.415771484,0.557617188,102146.9375,5.199728909,24,158,20.20882353,274.5026622,273.5817908,6.734184608,0.162109857,170.8393674,123.0387092,28.75759523,10.36077516,15.03014772,20.034505947324156,-29.45691844485128,-77.25757666766785
3634,3634,2021-06-13 18:00:00,12.88158981,55.26997824,289.4194336,1.224093437,1.125087261,4.140598297,3.027748108,3.492160797,287.5725098,0.602179646,0.383056581,0.461914063,102231.5,5.199721841,24,158,18.98235917,284.6679622,282.8378935,6.409541933,0.162109857,168.212071,132.294812,17.31683058,7.012722917,10.06145949,18.764335803077582,-29.45691844485128,-65.37417743454766
3635,3635,2021-06-13 19:00:00,12.42721607,55.41008445,289.5722656,1.221821785,0.827826023,3.606437683,2.540076256,3.084342957,288.3297119,0.451208591,0.314605653,0.319152832,102158.75,5.199721344,24,158,16.95159531,298.6418464,297.2650759,5.494590265,0.164609241,179.3090069,141.5683082,5.363128486,0.113799873,2.598449531,16.697355858825283,-24.30323238490878,-62.04393108409475
3636,3636,2021-06-13 20:00:00,12.19788465,55.45566529,288.3237305,1.22427845,,,,,288.4560547,,,,102054.0,5.199745132,24,158,0.639595059,287.5235673,119.4326426,4.228352941,0.235156889,7.415146597,45.94986465,,,,0.554029488967506,-14.617492792546717,-67.98250404055271
3640,3640,2021-06-14 00:00:00,13.01570625,55.22719708,287.7185059,1.229026794,0.755705655,3.570802689,2.422522545,3.068605423,287.5036621,0.413008034,0.309570313,0.272949219,102260.5625,5.124117838,24,158,19.29598347,102.7046002,100.8640812,4.949999282,0.016703624,2.641917526,19.86831942,167.1005924,177.190131,171.9948796,19.27515245997068,24.66947844729844,-76.49400126819297
3655,3655,2021-06-14 15:00:00,14.50482013,55.1275771,288.7556152,1.220611572,0.821300507,3.514486313,2.622718811,3.112691879,287.4645996,0.442496896,0.283630371,0.312438965,101749.4375,5.289002261,24,158,16.71790123,289.7804047,274.9649007,5.926217155,0.094952458,112.4049084,125.5379237,5.551692661,62.73339432,29.19950455,16.576202691701525,-30.57302299969615,27.369809067430314
3656,3656,2021-06-14 16:00:00,14.01563275,55.20677853,289.6291504,1.21570015,0.697433591,3.369526863,2.355995178,2.951130867,287.2993164,0.381343186,0.25088501,0.278930664,101703.5,5.290163005,24,158,19.42460938,278.5041949,275.7909701,6.161173612,0.080633373,110.7733275,122.5215993,15.06993128,65.24934412,33.73333765,19.33460818328542,-26.730629244234986,26.564297600167325
3657,3657,2021-06-14 17:00:00,13.4347429,55.23962581,290.2329102,1.209011078,0.609971762,3.178080559,2.301673889,2.773539543,287.2241211,0.338802099,0.209472656,0.264404297,101563.5,5.290108406,24,158,19.28619247,274.3723386,272.3118862,6.333930676,0.109623797,124.2666178,133.2843937,17.74995074,60.2489284,36.09205279,19.13519935352443,-40.97250751241943,36.57850400216875
